triad_id,directory,has_final_results,missing_files,existing_files
triad_0,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_1,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_2,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_3,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_4,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_5,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_6,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_7,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_8,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_9,data/final_generation,False,"critique_final.json, original_paper_final.json, response_final.json, summary.json",
triad_10,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_11,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_12,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_13,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_14,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_15,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_16,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_17,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_18,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_19,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_20,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_21,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_22,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_23,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_24,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_25,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_26,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_27,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_28,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_29,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_30,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_31,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_32,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_33,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_34,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_35,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_36,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_37,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_38,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_39,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_40,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_41,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_42,data/final_generation,False,"critique_final.json, original_paper_final.json, response_final.json, summary.json",
triad_43,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_44,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_45,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_46,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_47,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_48,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_49,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_50,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_51,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_52,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_53,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
triad_54,data/final_generation,False,"critique_final.json, original_paper_final.json, response_final.json, summary.json",
triad_55,data/final_generation,True,None,"critique_final.json, original_paper_final.json, response_final.json, summary.json"
