index,triad_id,original_id,critique_id,response_id,issn,original_year,critique_year,response_year,original_is_oa,critique_is_oa,response_is_oa,all_oa,author_jacard,strictly_transitive,multi_issue,distinct_pdf_urls,multi_critique,extended_by,extends
0,W2549151593_W2810305402_W2811030405,https://openalex.org/W2549151593,https://openalex.org/W2810305402,https://openalex.org/W2811030405,0001-3765,2016,2018,2018,1,1,1,1,1.0,1,1,1.0,,,
1,W2060686602_W1976775701_W2048380326,https://openalex.org/W2060686602,https://openalex.org/W1976775701,https://openalex.org/W2048380326,0001-6268,2011,2011,2011,1,1,1,1,0.5,1,0,1.0,,,
2,W3047727428_W3087046991_W3088890365,https://openalex.org/W3047727428,https://openalex.org/W3087046991,https://openalex.org/W3088890365,0001-6349,2020,2020,2020,1,1,1,1,1.0,1,0,1.0,,,
3,W3120038154_W3129906946_W3133202096,https://openalex.org/W3120038154,https://openalex.org/W3129906946,https://openalex.org/W3133202096,0001-6349,2021,2021,2021,1,1,1,1,1.0,1,1,1.0,,,
4,W3088124001_W3132230606_W3139232712,https://openalex.org/W3088124001,https://openalex.org/W3132230606,https://openalex.org/W3139232712,0001-6349,2020,2021,2021,1,1,1,1,0.5,1,1,1.0,,,
5,W4200515897_W4214615947_W4226413447,https://openalex.org/W4200515897,https://openalex.org/W4214615947,https://openalex.org/W4226413447,0001-6349,2021,2022,2022,1,1,1,1,0.8,1,1,1.0,,,
6,W1988999883_W1493117805_W1572949200,https://openalex.org/W1988999883,https://openalex.org/W1493117805,https://openalex.org/W1572949200,0001-6349,2015,2015,2015,1,1,1,1,1.0,1,1,1.0,,,
7,W2022521073_W2013468690_W2000670574,https://openalex.org/W2022521073,https://openalex.org/W2013468690,https://openalex.org/W2000670574,0001-6349,2015,2015,2015,1,1,1,1,0.5,1,1,1.0,,,
8,W1985572401_W2053672024_W2153298051,https://openalex.org/W1985572401,https://openalex.org/W2053672024,https://openalex.org/W2153298051,0001-6349,2015,2015,2015,1,1,1,1,1.0,1,1,1.0,,,
9,W2178065895_W2405516198_W2421077221,https://openalex.org/W2178065895,https://openalex.org/W2405516198,https://openalex.org/W2421077221,0001-6349,2015,2016,2016,1,1,1,1,1.0,1,1,1.0,,,
10,W2252355323_W2512035968_W2511882867,https://openalex.org/W2252355323,https://openalex.org/W2512035968,https://openalex.org/W2511882867,0001-6349,2016,2016,2016,1,1,1,1,1.0,1,1,1.0,,,
11,W2337811250_W2412703896_W2411014869,https://openalex.org/W2337811250,https://openalex.org/W2412703896,https://openalex.org/W2411014869,0001-6349,2016,2016,2016,1,1,1,1,1.0,1,1,1.0,,,
12,W2483652051_W2727413195_W2737175038,https://openalex.org/W2483652051,https://openalex.org/W2727413195,https://openalex.org/W2737175038,0001-6349,2016,2017,2017,1,1,1,1,0.7142857142857143,1,0,1.0,,,
13,W2409463989_W2553919551_W2560007131,https://openalex.org/W2409463989,https://openalex.org/W2553919551,https://openalex.org/W2560007131,0001-6349,2016,2017,2017,1,1,1,1,1.0,1,1,1.0,,,
14,W2512443124_W2552404320_W2563564308,https://openalex.org/W2512443124,https://openalex.org/W2552404320,https://openalex.org/W2563564308,0001-6349,2016,2016,2017,1,1,1,1,0.7142857142857143,1,1,1.0,,,
15,W2493257953_W2560261049_W2583088211,https://openalex.org/W2493257953,https://openalex.org/W2560261049,https://openalex.org/W2583088211,0001-6349,2016,2017,2017,1,1,1,1,1.0,1,1,1.0,,,
16,W2604440605_W2612328913_W2684480696,https://openalex.org/W2604440605,https://openalex.org/W2612328913,https://openalex.org/W2684480696,0001-6349,2017,2017,2017,1,1,1,1,1.0,1,0,1.0,,,
17,W2756112577_W2886877658_W2888247273,https://openalex.org/W2756112577,https://openalex.org/W2886877658,https://openalex.org/W2888247273,0001-6349,2017,2018,2018,1,1,1,1,0.5,1,1,1.0,,,
18,W2792294568_W2804066419_W2889932978,https://openalex.org/W2792294568,https://openalex.org/W2804066419,https://openalex.org/W2889932978,0001-6349,2018,2018,2018,1,1,1,1,0.5,1,1,1.0,,,
19,W2745582371_W2773938684_W2783859604,https://openalex.org/W2745582371,https://openalex.org/W2773938684,https://openalex.org/W2783859604,0001-6349,2017,2017,2018,1,1,1,1,0.5,1,1,1.0,,,
20,W2899055790_W2942848293_W2945022570,https://openalex.org/W2899055790,https://openalex.org/W2942848293,https://openalex.org/W2945022570,0001-6349,2018,2019,2019,1,1,1,1,1.0,1,1,1.0,,,
21,W2944498088_W2951289905_W2964619744,https://openalex.org/W2944498088,https://openalex.org/W2951289905,https://openalex.org/W2964619744,0001-6349,2019,2019,2019,1,1,1,1,0.7142857142857143,1,0,1.0,,,
